Epoch,Training Accuracy,Testing Accuracy
1,79.44622608586761,82.19117482503255
2,82.43719294341373,82.99603356255425
3,83.21956080897428,83.29515669080946
4,83.45980028034916,83.43193054199219
5,83.64638372159621,83.57821570502388
6,83.77145118789218,83.65272098117404
7,83.81737316579041,83.68821885850694
8,83.84367106686057,83.7049314710829
9,83.8757721614648,83.72991773817274
10,83.88061220081853,83.75011867947049
11,83.90848300092027,83.7434811062283
12,83.91795073067455,83.76338958740234
13,83.92564989700469,83.74986436631944
14,83.93291981509381,83.79525502522786
15,83.94113468602448,83.76492818196614
16,83.94108766589913,83.75441233317056
17,83.94857903361084,83.80616929796007
18,83.96043265553166,83.76505533854167
19,83.96459772856998,83.81142510308159
20,83.95053567753634,83.80373636881511
21,83.94237692740045,83.75777350531683
22,83.95738544805387,83.78543429904514
23,83.96823041244718,83.78661261664496
24,83.9668016073481,83.77674950493706
25,83.96083915209913,83.79492441813152
26,83.96482221174904,83.78912607828775
27,83.96966680143747,83.78973219129774
28,83.96000795762534,83.7954330444336
29,83.96388029246397,83.81140814887152
30,83.94516931613444,83.79138946533203
31,83.96932097599947,83.79908243815105
32,83.97990505453606,83.80552927652994
33,83.98320253042293,83.81338755289714
34,83.9748117132168,83.82249196370442
35,83.9726336196687,83.83800930447049
36,83.9875754020797,83.83305867513022
37,83.99350903854219,83.82470024956598
38,83.96468266815124,83.77258724636502
39,83.92818139988196,83.80341423882378
40,83.96169158146822,83.83730146620009
41,83.98383957728241,83.81869422064887
42,83.99242909243756,83.81138695610895
43,83.99153571005607,83.82253011067708
44,83.99954429914652,83.82962968614366
45,83.99638485007921,83.85508219401042
46,84.00112174851283,83.85035196940103
47,83.9941278840628,83.81689707438152
48,83.97955467876336,83.82337358262804
49,83.97356795506259,83.82930755615234
50,83.9690418888039,83.8444095187717
