Epoch,Training Accuracy,Testing Accuracy
1,88.02405598149386,89.39453972710504
2,90.0917538591692,90.50572713216147
3,90.4436570275612,90.52802615695529
4,90.72740679943774,91.18179745144315
5,90.75511075393344,91.21341281467014
6,90.87914529425012,90.4214859008789
7,91.13112462917806,91.06214311387804
8,91.31077336032632,91.63112216525607
9,91.33813755649696,91.85838911268446
10,91.50864769876833,91.95735931396484
11,91.53346674105755,92.0175043741862
12,91.76492558321944,91.8334452311198
13,91.88603122476081,92.22976684570312
14,92.02908768094558,91.94387647840712
15,92.30061525378976,92.71700965033637
16,92.83221720701184,93.35865020751953
17,93.51964233883805,93.97012074788411
18,94.65234502409372,95.13455284966363
19,95.4398790363289,95.71348826090494
20,96.13322415361347,96.33505079481337
21,96.68161987547373,96.87218560112846
22,97.15195763893203,97.30243682861328
23,97.50870084667774,97.60586208767361
24,97.86393789363429,97.9301028781467
25,98.15514111376662,98.22777642144096
26,98.40651373739982,98.48711649576823
27,98.6105522625963,98.70830959743924
28,98.82230663868353,98.92833709716797
29,99.05336353461264,99.05323028564453
30,99.28198751824988,99.34580908881293
31,99.45848286744378,99.47445763481988
32,99.56179214993244,99.50214385986328
33,99.63545903533874,99.59891849093967
34,99.75625828767629,99.64494493272569
35,99.78792406692656,99.77923923068576
36,99.7767772636641,99.76484934488933
37,99.85808112749285,99.8310301038954
38,99.87436070830874,99.81593661838107
39,99.9133601103341,99.858521355523
40,99.93408536816212,99.87676832411024
41,99.94186340696058,99.87550523546007
42,99.92435978610757,99.88035413953993
43,99.9574027999969,99.89820692274306
44,99.96084892015097,99.89576127794054
45,99.94651839936941,99.90201314290364
46,99.9653188656149,99.86683739556207
47,99.66403968765532,99.86564636230469
48,99.95886345743897,99.90926106770833
49,99.97953259447223,99.92415534125433
50,99.94751188911452,99.91125742594402
