Epoch,Training Accuracy,Testing Accuracy
1,88.97478774812065,91.18807474772136
2,90.71141540648686,90.25758955213759
3,90.83956799971654,91.23123168945312
4,90.92396760792666,91.29289839002821
5,91.08099965878557,91.58117082383897
6,91.2384033203125,91.348876953125
7,91.35741429110882,91.50647905137804
8,91.51734338840006,91.39815436469185
9,91.73130922715659,91.93150838216145
10,91.81524166766977,92.07076178656683
11,92.11637978525332,92.36069573296442
12,92.38656349257968,91.75459543863931
13,92.75969245561785,92.76354895697699
14,93.07534159059317,92.51984066433377
15,93.84032869433788,94.20445336235895
16,94.81286718167557,95.2477518717448
17,95.67218879108164,95.9045918782552
18,96.36203470097384,96.46704355875652
19,96.89448756678678,96.96887969970703
20,97.41404175047373,97.3736063639323
21,97.83490069106844,97.79323154025607
22,98.13250623213841,98.01580217149522
23,98.36654359730291,98.25629340277777
24,98.61751427470334,98.512208726671
25,98.93163146365946,98.76033782958984
26,99.09051398396728,99.0129131740994
27,99.30310410486301,99.20814090304904
28,99.48384643312002,99.33906555175781
29,99.6125298987326,99.28035312228732
30,99.70886503488833,99.5633316040039
31,99.78994441553802,99.62543487548828
32,99.83511558820902,99.6392822265625
33,99.86834668259972,99.69916025797527
34,99.8961871471367,99.71803453233507
35,99.91582032463423,99.76531558566623
36,99.9356082135119,99.76185268825955
37,99.94726465426193,99.78367275661893
38,99.95525049167884,99.79896121554904
39,99.95726932351205,99.79401058620877
40,99.947053822087,99.8043441772461
41,99.94491061443837,99.78760189480252
42,99.9553232970342,99.81763627794054
43,99.9683827576533,99.81407589382596
44,99.9667355364881,99.81799655490451
45,99.95018293558958,99.82245551215277
46,99.95944438350367,99.82573615180121
47,99.9725584481393,99.8461447821723
48,99.9811206612862,99.8567114935981
49,99.98230374831093,99.84714931911893
50,99.97892284962103,99.84255472819011
